Name,Team,ERA,GB/FB,Relief-IP,K%,BB%,HardHit%,Zone%,Pace (pi)
Anthony Bender,MIA,1.96,1.3,41.1,19.40%,10.30%,42.10%,49.20%,19.4
Cole Sands,MIN,4.62,1.2,37,17.60%,6.30%,44.20%,45.60%,19.4
Dennis Santana,PIT,1.52,1.11,41.1,20.00%,4.50%,32.50%,50.10%,19.4
Yennier Cano,BAL,4.54,2.08,33.2,25.70%,7.60%,34.70%,39.40%,19.4
Max Kranick,NYM,3.65,0.83,37,16.90%,3.40%,44.90%,52.20%,19.3
Hunter Gaddis,CLE,3.69,0.88,39,26.20%,9.50%,34.60%,40.90%,19.3
Scott Barlow,CIN,3.74,1.23,43.1,25.30%,14.50%,29.40%,41.80%,19.3
José Buttó,NYM,2.47,1.45,43.2,21.80%,11.20%,39.50%,38.50%,19.3
Garrett Cleavinger,TBR,2.62,0.85,34.1,32.90%,7.10%,39.70%,48.40%,19.3
Bennett Sousa,HOU,2.29,1,39.1,31.30%,6.00%,37.20%,45.40%,19.3
Bryan Baker,2 Tms,4.02,0.86,40.1,32.10%,6.80%,47.50%,46.70%,19.2
Emmanuel Clase,CLE,2.86,1.48,44,23.40%,5.30%,38.50%,45.50%,19.1
Calvin Faucher,MIA,4.21,1.53,36.1,23.30%,10.10%,30.10%,40.90%,19.1
Edwin Uceta,TBR,5.27,0.69,42.2,29.80%,9.00%,44.10%,43.60%,19
Lucas Erceg,KCR,2.5,2.1,39.2,21.40%,8.80%,41.70%,43.70%,19
Justin Topa,MIN,3.96,1.77,38.2,18.80%,5.90%,49.20%,47.40%,19
Nick Mears,MIL,2.35,0.93,38.1,23.10%,3.50%,40.00%,50.30%,19
Bryan Abreu,HOU,1.83,0.91,44.1,38.30%,10.90%,48.90%,37.20%,19
Anthony Banda,LAD,3.92,0.96,43.2,19.10%,12.00%,39.50%,42.20%,19
Jalen Beeks,ARI,4.39,1.49,41,22.90%,8.80%,36.80%,41.60%,19
Josh Hader,HOU,2.42,0.36,44.2,37.90%,6.30%,31.60%,41.70%,18.9
Tyler Ferguson,ATH,6.69,0.95,35,21.20%,14.10%,34.70%,38.80%,18.9
Luke Jackson,TEX,4.24,1.8,34,16.30%,12.90%,46.10%,43.50%,18.9
Tyler Alexander,2 Tms,4.53,1.12,47.2,18.60%,6.20%,37.70%,44.30%,18.8
Angel Chivilli,COL,5.91,2.31,35,16.40%,10.10%,39.70%,39.90%,18.8
Scott Blewett,3 Tms,5.35,1.25,38.2,19.50%,9.50%,50.40%,43.00%,18.8
