Name,Team,ERA-,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Relief-IP
Bryan Baker,2 Tms,104,0.84,46.90%,32.70%,31.90%,48.00%,1.16,41.1
Hogan Harris,ATH,104,0.81,47.60%,28.10%,23.40%,28.90%,1.65,41.1
Brant Hurter,DET,81,1.59,44.20%,28.80%,24.40%,36.60%,1.38,41.1
Jakob Junis,CLE,88,0.98,44.40%,30.00%,18.10%,37.70%,1.39,41
Chad Green,TOR,92,0.66,42.50%,32.20%,18.70%,49.20%,1.29,41
Jalen Beeks,ARI,105,1.49,41.60%,33.20%,22.90%,36.80%,1.15,41
Enyel De Los Santos,ATL,100,1.02,46.60%,33.20%,21.40%,37.80%,1.2,41
Bennett Sousa,HOU,55,0.93,45.80%,40.00%,31.00%,36.10%,0.91,40.2
Alex Vesia,LAD,65,0.43,46.70%,32.40%,35.80%,36.80%,0.93,40.2
Matt Strahm,PHI,74,0.4,48.20%,38.50%,27.70%,43.00%,1.14,40.1
Reed Garrett,NYM,73,1.11,38.00%,33.30%,25.70%,41.50%,1.29,40.1
Ryan Walker,SFG,111,1.56,47.20%,27.30%,23.50%,35.70%,1.07,40.1
Angel Zerpa,KCR,91,3.17,47.90%,29.40%,22.40%,44.00%,1.31,40.1
Tommy Kahnle,DET,118,1.33,43.20%,27.70%,20.60%,35.70%,1.18,40
Brent Suter,CIN,78,1.1,46.20%,29.90%,18.10%,30.10%,1.1,40
Brennan Bernardino,BOS,80,1.46,43.30%,28.70%,18.40%,34.20%,1.23,40
Brock Burke,LAA,83,1.55,47.60%,28.30%,19.80%,43.00%,1.35,40
Hunter Gaddis,CLE,90,0.88,40.70%,36.40%,26.30%,33.90%,1.35,40
Seranthony Domínguez,BAL,91,0.97,36.20%,32.60%,30.70%,34.10%,1.34,39.2
Lucas Erceg,KCR,60,2.1,43.70%,33.50%,21.40%,41.70%,1.13,39.2
Eric Orze,TBR,68,0.94,47.60%,30.30%,23.20%,30.30%,1.21,39.2
Edwin Díaz,NYM,40,1.78,41.50%,29.80%,38.80%,37.30%,0.89,39.1
John Schreiber,KCR,71,1.12,44.90%,30.30%,24.60%,37.50%,1.25,39.1
Brandon Eisert,CHW,113,0.96,36.40%,35.70%,25.40%,33.60%,1.35,39.1
Aroldis Chapman,BOS,27,0.91,47.90%,37.50%,40.10%,42.30%,0.77,39
Cole Sands,MIN,114,1.24,45.30%,32.70%,18.00%,42.90%,1.33,39
Chase Shugart,PIT,87,0.67,42.50%,27.70%,13.80%,38.00%,1.15,39
Nick Mears,MIL,62,0.93,50.00%,40.70%,23.30%,41.10%,0.85,39
Mitch Spence,ATH,105,1.25,38.50%,36.10%,21.60%,42.70%,1.33,39
Justin Topa,MIN,98,1.77,47.40%,29.40%,18.80%,49.20%,1.34,38.2
Scott Blewett,3 Tms,132,1.25,43.00%,28.70%,19.50%,50.40%,1.42,38.2
Raisel Iglesias,ATL,123,0.78,44.20%,35.00%,27.00%,32.40%,1.24,38.2
Jacob Latz,TEX,70,1,43.10%,33.60%,22.70%,40.00%,1.29,38.2
Robert Garcia,TEX,70,1.05,43.20%,36.20%,25.50%,31.70%,1.27,38.2
Brad Lord,WSN,68,2.04,45.80%,30.70%,21.90%,36.40%,1.16,38.2
Devin Williams,NYY,117,1.14,38.30%,35.70%,31.90%,34.40%,1.12,38.1
Gabe Speier,SEA,69,1.03,45.60%,40.30%,34.20%,39.30%,0.97,38
Pete Fairbanks,TBR,71,1.42,48.40%,30.70%,20.30%,41.40%,1.13,38
Andrés Muñoz,SEA,38,1.68,38.20%,32.30%,33.10%,41.50%,0.92,38
Steven Cruz,KCR,62,1.15,51.40%,29.00%,22.10%,32.00%,0.95,38
Caleb Thielbar,CHC,53,0.91,45.20%,31.10%,25.20%,31.30%,0.88,37.2
Ian Hamilton,NYY,83,0.87,41.40%,34.60%,27.20%,35.60%,1.12,37.2
