Name,Team,ERA-,GB/FB,Zone%,O-Swing%,K%,HardHit%,WHIP,Start-IP,pred_ERA-,diff_ERA-
Lucas Giolito,3 Tms,114,0.79,0.413,0.302,0.257,0.413,1.31,183.4,92.57785727738595,-21.422142722614055
Shane Baz,TBR,116,1.32,0.45399999999999996,0.325,0.231,0.405,1.3,114,88.00583683295598,-27.99416316704402
Brandon Pfaadt,ARI,116,1.16,0.424,0.318,0.19699999999999998,0.489,1.26,106.1,109.15356144590469,-6.8464385540953145
Andre Pallante,STL,116,2.94,0.426,0.297,0.149,0.42,1.34,105,93.90763479043603,-22.092365209563965
Jake Irvin,WSN,117,1.11,0.48,0.29100000000000004,0.16399999999999998,0.47100000000000003,1.33,119.2,110.33955930127385,-6.660440698726148
Dylan Cease,SDP,117,0.85,0.39,0.36,0.3,0.406,1.3,108.2,83.12143697172431,-33.87856302827569
Jack Flaherty,DET,119,0.74,0.41700000000000004,0.307,0.297,0.447,1.29,103.2,86.30332520384437,-32.696674796155634
Patrick Corbin,WSN,119,1.3,0.41100000000000003,0.307,0.157,0.43799999999999994,1.48,180,113.68878659139692,-5.311213408603081
Mitchell Parker,WSN,121,0.87,0.449,0.332,0.14800000000000002,0.496,1.4,108,122.45477252570883,1.454772525708833
Luis Severino,ATH,122,1.14,0.428,0.309,0.159,0.426,1.39,118.1,112.13782869252516,-9.8621713074748385
Chris Paddack,MIN,127,0.8,0.42,0.35,0.166,0.442,1.31,105,116.6156763801106,-10.3843236198894
Miles Mikolas,STL,132,1.15,0.495,0.313,0.16899999999999998,0.42100000000000004,1.28,171.2,102.35804415223309,-29.64195584776691
Griffin Canning,LAA,132,1.02,0.39899999999999997,0.327,0.172,0.419,1.44,165.2,112.59091545223224,-19.409084547767762
Lance Lynn,2 Tms,133,0.82,0.40299999999999997,0.324,0.23600000000000002,0.38799999999999996,1.39,183.2,95.93993513722712,-37.060064862772876
Zac Gallen,ARI,134,1.06,0.41100000000000003,0.303,0.222,0.473,1.37,121,103.991481424936,-30.008518575064002
Patrick Corbin,WSN,136,1.42,0.396,0.341,0.182,0.461,1.5,174.2,109.99723512371074,-26.002764876289262
Jordan Lyles,KCR,142,0.69,0.402,0.319,0.16,0.355,1.24,177.2,112.76700716798814,-29.23299283201186
